x y z heading valid quality timestamp
7757721.307650 -363569.018991 0.000000 0.660415 1 4 1511378409.184679
7757721.307663 -363569.020732 0.000000 0.662736 1 4 1511378409.247166
7757721.305819 -363569.020747 0.000000 0.661515 1 4 1511378409.309622
7757721.305805 -363569.019006 0.000000 0.662195 1 4 1511378409.372123
7757721.307663 -363569.020732 0.000000 0.662824 1 4 1511378409.434675
7757721.305832 -363569.022487 0.000000 0.662579 1 4 1511378409.497166
7757721.309508 -363569.020717 0.000000 0.660171 1 4 1511378409.559663
7757721.309508 -363569.020717 0.000000 0.660799 1 4 1511378409.622141
7757721.315001 -363569.015451 0.000000 0.661305 1 4 1511378409.684679
7757721.311353 -363569.020703 0.000000 0.661654 1 4 1511378409.747200
7757721.309508 -363569.020717 0.000000 0.661864 1 4 1511378409.809628
7757721.313170 -363569.017207 0.000000 0.661794 1 4 1511378409.872188
7757721.313184 -363569.018947 0.000000 0.663068 1 4 1511378409.934703
7757721.311339 -363569.018962 0.000000 0.660799 1 4 1511378409.997167
7757721.309508 -363569.020717 0.000000 0.660206 1 4 1511378410.059670
7757721.311353 -363569.020703 0.000000 0.661235 1 4 1511378410.122185
7757721.311339 -363569.018962 0.000000 0.662230 1 4 1511378410.184645
7757721.311339 -363569.018962 0.000000 0.661672 1 4 1511378410.247194
7757721.309494 -363569.018977 0.000000 0.661148 1 4 1511378410.309649
7757721.309508 -363569.020717 0.000000 0.661375 1 4 1511378410.372169
7757721.309494 -363569.018977 0.000000 0.662771 1 4 1511378410.434671
7757721.309481 -363569.017236 0.000000 0.662998 1 4 1511378410.497187
7757721.307650 -363569.018991 0.000000 0.662998 1 4 1511378410.559719
7757721.307663 -363569.020732 0.000000 0.662806 1 4 1511378410.622176
7757721.307650 -363569.018991 0.000000 0.662352 1 4 1511378410.684685
7757721.307636 -363569.017250 0.000000 0.663173 1 4 1511378410.747224
7757721.307636 -363569.017250 0.000000 0.663173 1 4 1511378411.184707
7757721.307636 -363569.017250 0.000000 0.663173 1 4 1511378411.247240
7757721.305832 -363569.022487 0.000000 0.661410 1 4 1511378411.309754
7757721.305819 -363569.020747 0.000000 0.661724 1 4 1511378411.372262
7757721.307663 -363569.020732 0.000000 0.660276 1 4 1511378411.434722
7757721.309508 -363569.020717 0.000000 0.661078 1 4 1511378411.497211
7757721.307650 -363569.018991 0.000000 0.661497 1 4 1511378411.559703
7757721.305832 -363569.022487 0.000000 0.662544 1 4 1511378411.622231
7757721.305819 -363569.020747 0.000000 0.661061 1 4 1511378411.684728
7757721.307650 -363569.018991 0.000000 0.661462 1 4 1511378411.747176
7757721.307677 -363569.022473 0.000000 0.663155 1 4 1511378411.809690
7757721.307677 -363569.022473 0.000000 0.664028 1 4 1511378411.872209
7757721.305819 -363569.020747 0.000000 0.662736 1 4 1511378411.934731
7757721.305819 -363569.020747 0.000000 0.662736 1 4 1511378411.997241
7757721.307677 -363569.022473 0.000000 0.662265 1 4 1511378412.059749
7757721.307677 -363569.022473 0.000000 0.662544 1 4 1511378412.122295
7757721.303988 -363569.022502 0.000000 0.660904 1 4 1511378412.184735
7757721.307663 -363569.020732 0.000000 0.661288 1 4 1511378412.247237
7757721.305819 -363569.020747 0.000000 0.662003 1 4 1511378412.309791
7757721.305819 -363569.020747 0.000000 0.662265 1 4 1511378412.372245
7757721.303988 -363569.022502 0.000000 0.663976 1 4 1511378412.434717
7757721.305819 -363569.020747 0.000000 0.663155 1 4 1511378412.497270
7757721.305832 -363569.022487 0.000000 0.663173 1 4 1511378412.559749
7757721.303988 -363569.022502 0.000000 0.662160 1 4 1511378412.622298
7757721.303974 -363569.020761 0.000000 0.661776 1 4 1511378412.684727
7757721.303988 -363569.022502 0.000000 0.661340 1 4 1511378412.747260
7757721.305819 -363569.020747 0.000000 0.661899 1 4 1511378412.809788
