x y z rx ry rz timestamp left_image right_image
7757729.127397 -363562.620718 0.000000 0.042504 -0.012449 0.660963 1472152644.278074 /dados/ufes/20160825-02/1472152644.278074.bb3.l.png /dados/ufes/20160825-02/1472152644.278074.bb3.r.png
7757729.137556 -363562.598379 0.000000 0.042481 -0.012330 0.662393 1472152644.340894 /dados/ufes/20160825-02/1472152644.340894.bb3.l.png /dados/ufes/20160825-02/1472152644.340894.bb3.r.png
7757729.150921 -363562.592259 0.000000 0.042422 -0.012377 0.661635 1472152644.407001 /dados/ufes/20160825-02/1472152644.407001.bb3.l.png /dados/ufes/20160825-02/1472152644.407001.bb3.r.png
7757729.139350 -363562.599900 0.000000 0.042437 -0.012570 0.662410 1472152644.467188 /dados/ufes/20160825-02/1472152644.467188.bb3.l.png /dados/ufes/20160825-02/1472152644.467188.bb3.r.png
7757729.132514 -363562.618080 0.000000 0.042743 -0.012510 0.661409 1472152644.527055 /dados/ufes/20160825-02/1472152644.527055.bb3.l.png /dados/ufes/20160825-02/1472152644.527055.bb3.r.png
7757729.135529 -363562.609448 0.000000 0.043027 -0.012524 0.661685 1472152644.587231 /dados/ufes/20160825-02/1472152644.587231.bb3.l.png /dados/ufes/20160825-02/1472152644.587231.bb3.r.png
7757729.134391 -363562.605729 0.000000 0.042983 -0.012597 0.662244 1472152644.647661 /dados/ufes/20160825-02/1472152644.647661.bb3.l.png /dados/ufes/20160825-02/1472152644.647661.bb3.r.png
7757729.133982 -363562.599434 0.000000 0.043111 -0.012665 0.662393 1472152644.707808 /dados/ufes/20160825-02/1472152644.707808.bb3.l.png /dados/ufes/20160825-02/1472152644.707808.bb3.r.png
7757729.131267 -363562.619353 0.000000 0.043154 -0.012572 0.661360 1472152644.768573 /dados/ufes/20160825-02/1472152644.768573.bb3.l.png /dados/ufes/20160825-02/1472152644.768573.bb3.r.png
7757729.133448 -363562.610284 0.000000 0.043145 -0.012449 0.662548 1472152644.832958 /dados/ufes/20160825-02/1472152644.832958.bb3.l.png /dados/ufes/20160825-02/1472152644.832958.bb3.r.png
7757729.143852 -363562.606344 0.000000 0.043305 -0.012182 0.662824 1472152644.897353 /dados/ufes/20160825-02/1472152644.897353.bb3.l.png /dados/ufes/20160825-02/1472152644.897353.bb3.r.png
7757729.140103 -363562.607353 0.000000 0.043381 -0.012455 0.662538 1472152644.961269 /dados/ufes/20160825-02/1472152644.961269.bb3.l.png /dados/ufes/20160825-02/1472152644.961269.bb3.r.png
7757729.140528 -363562.603150 0.000000 0.042986 -0.012312 0.662339 1472152645.027321 /dados/ufes/20160825-02/1472152645.027321.bb3.l.png /dados/ufes/20160825-02/1472152645.027321.bb3.r.png
7757729.132833 -363562.617578 0.000000 0.042969 -0.012410 0.661839 1472152645.087930 /dados/ufes/20160825-02/1472152645.087930.bb3.l.png /dados/ufes/20160825-02/1472152645.087930.bb3.r.png
7757729.134209 -363562.614920 0.000000 0.042953 -0.012214 0.660631 1472152645.148349 /dados/ufes/20160825-02/1472152645.148349.bb3.l.png /dados/ufes/20160825-02/1472152645.148349.bb3.r.png
7757729.124902 -363562.619645 0.000000 0.043068 -0.011910 0.661441 1472152645.208401 /dados/ufes/20160825-02/1472152645.208401.bb3.l.png /dados/ufes/20160825-02/1472152645.208401.bb3.r.png
7757729.132900 -363562.617111 0.000000 0.042987 -0.011981 0.660905 1472152645.268879 /dados/ufes/20160825-02/1472152645.268879.bb3.l.png /dados/ufes/20160825-02/1472152645.268879.bb3.r.png
7757729.136787 -363562.609894 0.000000 0.042951 -0.011802 0.661813 1472152645.330031 /dados/ufes/20160825-02/1472152645.330031.bb3.l.png /dados/ufes/20160825-02/1472152645.330031.bb3.r.png
7757729.130385 -363562.617472 0.000000 0.043005 -0.012020 0.661016 1472152645.394741 /dados/ufes/20160825-02/1472152645.394741.bb3.l.png /dados/ufes/20160825-02/1472152645.394741.bb3.r.png
