x y z rx ry rz timestamp left_image right_image
7757731.299323 -363561.059565 0.000000 0.039027 -0.022686 0.650446 1472149903.760527 /dados/ufes/20160825/1472149903.760527.bb3.l.png /dados/ufes/20160825/1472149903.760527.bb3.r.png
7757731.430255 -363560.949638 0.000000 0.038421 -0.023688 0.650481 1472149903.823309 /dados/ufes/20160825/1472149903.823309.bb3.l.png /dados/ufes/20160825/1472149903.823309.bb3.r.png
7757731.533265 -363560.842597 0.000000 0.038812 -0.024631 0.652260 1472149903.883430 /dados/ufes/20160825/1472149903.883430.bb3.l.png /dados/ufes/20160825/1472149903.883430.bb3.r.png
7757731.699041 -363560.712813 0.000000 0.037930 -0.026810 0.651714 1472149903.944215 /dados/ufes/20160825/1472149903.944215.bb3.l.png /dados/ufes/20160825/1472149903.944215.bb3.r.png
7757731.825702 -363560.591097 0.000000 0.039120 -0.028445 0.653597 1472149904.004891 /dados/ufes/20160825/1472149904.004891.bb3.l.png /dados/ufes/20160825/1472149904.004891.bb3.r.png
7757731.951218 -363560.497956 0.000000 0.041598 -0.029312 0.650232 1472149904.065881 /dados/ufes/20160825/1472149904.065881.bb3.l.png /dados/ufes/20160825/1472149904.065881.bb3.r.png
7757732.114832 -363560.395059 0.000000 0.044196 -0.030337 0.651979 1472149904.128980 /dados/ufes/20160825/1472149904.128980.bb3.l.png /dados/ufes/20160825/1472149904.128980.bb3.r.png
7757732.270454 -363560.264551 0.000000 0.045826 -0.029860 0.653147 1472149904.192431 /dados/ufes/20160825/1472149904.192431.bb3.l.png /dados/ufes/20160825/1472149904.192431.bb3.r.png
7757732.424592 -363560.180666 0.000000 0.046980 -0.028945 0.655223 1472149904.255705 /dados/ufes/20160825/1472149904.255705.bb3.l.png /dados/ufes/20160825/1472149904.255705.bb3.r.png
7757732.560416 -363560.057204 0.000000 0.048282 -0.028535 0.657594 1472149904.318479 /dados/ufes/20160825/1472149904.318479.bb3.l.png /dados/ufes/20160825/1472149904.318479.bb3.r.png
7757732.698286 -363559.959557 0.000000 0.048494 -0.028100 0.658089 1472149904.378794 /dados/ufes/20160825/1472149904.378794.bb3.l.png /dados/ufes/20160825/1472149904.378794.bb3.r.png
