x y z rx ry rz timestamp left_image right_image
7757725.673882 -363565.336041 0.000000 0.046535 0.013382 0.662869 1477073738.645717 /dados/ufes/20161021/1477073738.645717.bb3.l.png /dados/ufes/20161021/1477073738.645717.bb3.r.png
7757725.668732 -363565.326649 0.000000 0.046291 0.013541 0.663407 1477073738.728665 /dados/ufes/20161021/1477073738.728665.bb3.l.png /dados/ufes/20161021/1477073738.728665.bb3.r.png
7757725.675590 -363565.334399 0.000000 0.046063 0.013444 0.663905 1477073738.810378 /dados/ufes/20161021/1477073738.810378.bb3.l.png /dados/ufes/20161021/1477073738.810378.bb3.r.png
7757725.676889 -363565.330371 0.000000 0.046162 0.013588 0.663379 1477073738.891904 /dados/ufes/20161021/1477073738.891904.bb3.l.png /dados/ufes/20161021/1477073738.891904.bb3.r.png
7757725.676070 -363565.327605 0.000000 0.046408 0.013180 0.663233 1477073738.973780 /dados/ufes/20161021/1477073738.973780.bb3.l.png /dados/ufes/20161021/1477073738.973780.bb3.r.png
7757725.675574 -363565.332900 0.000000 0.046506 0.013197 0.663356 1477073739.056240 /dados/ufes/20161021/1477073739.056240.bb3.l.png /dados/ufes/20161021/1477073739.056240.bb3.r.png
7757725.675986 -363565.333989 0.000000 0.046564 0.013298 0.663492 1477073739.137702 /dados/ufes/20161021/1477073739.137702.bb3.l.png /dados/ufes/20161021/1477073739.137702.bb3.r.png
7757725.683276 -363565.330567 0.000000 0.046416 0.013224 0.664655 1477073739.219725 /dados/ufes/20161021/1477073739.219725.bb3.l.png /dados/ufes/20161021/1477073739.219725.bb3.r.png
7757725.679691 -363565.330520 0.000000 0.046596 0.012995 0.664603 1477073739.301763 /dados/ufes/20161021/1477073739.301763.bb3.l.png /dados/ufes/20161021/1477073739.301763.bb3.r.png
7757725.673147 -363565.329480 0.000000 0.046395 0.013013 0.663708 1477073739.382337 /dados/ufes/20161021/1477073739.382337.bb3.l.png /dados/ufes/20161021/1477073739.382337.bb3.r.png
7757725.675465 -363565.328381 0.000000 0.046404 0.012921 0.664298 1477073739.465843 /dados/ufes/20161021/1477073739.465843.bb3.l.png /dados/ufes/20161021/1477073739.465843.bb3.r.png
