x y z rx ry rz timestamp left_image right_image
7757720.724469 -363569.082578 0.000000 0.000000 0.000000 0.690251 1511378410.747224 /dados/ufes/20171122/1511378410.747224.bb3.l.png /dados/ufes/20171122/1511378410.747224.bb3.r.png
7757720.724126 -363569.082860 0.000000 0.000000 0.000000 0.690250 1511378411.184707 /dados/ufes/20171122/1511378411.184707.bb3.l.png /dados/ufes/20171122/1511378411.184707.bb3.r.png
7757720.746482 -363569.083820 0.000000 0.041504 0.009099 0.686499 1511378411.247240 /dados/ufes/20171122/1511378411.247240.bb3.l.png /dados/ufes/20171122/1511378411.247240.bb3.r.png
7757720.757410 -363569.104919 0.000000 0.041511 0.008787 0.686225 1511378411.309754 /dados/ufes/20171122/1511378411.309754.bb3.l.png /dados/ufes/20171122/1511378411.309754.bb3.r.png
7757720.764151 -363569.118474 0.000000 0.041381 0.008636 0.681653 1511378411.372262 /dados/ufes/20171122/1511378411.372262.bb3.l.png /dados/ufes/20171122/1511378411.372262.bb3.r.png
7757720.783385 -363569.123608 0.000000 0.041836 0.008639 0.679879 1511378411.434722 /dados/ufes/20171122/1511378411.434722.bb3.l.png /dados/ufes/20171122/1511378411.434722.bb3.r.png
7757720.779964 -363569.141555 0.000000 0.041782 0.008592 0.679973 1511378411.497211 /dados/ufes/20171122/1511378411.497211.bb3.l.png /dados/ufes/20171122/1511378411.497211.bb3.r.png
7757720.785921 -363569.167584 0.000000 0.041818 0.008612 0.680576 1511378411.559703 /dados/ufes/20171122/1511378411.559703.bb3.l.png /dados/ufes/20171122/1511378411.559703.bb3.r.png
7757720.791863 -363569.194725 0.000000 0.041741 0.008878 0.677986 1511378411.622231 /dados/ufes/20171122/1511378411.622231.bb3.l.png /dados/ufes/20171122/1511378411.622231.bb3.r.png
7757720.817417 -363569.236552 0.000000 0.041671 0.008520 0.676275 1511378411.684728 /dados/ufes/20171122/1511378411.684728.bb3.l.png /dados/ufes/20171122/1511378411.684728.bb3.r.png
7757720.819398 -363569.248256 0.000000 0.041542 0.008483 0.676362 1511378411.747176 /dados/ufes/20171122/1511378411.747176.bb3.l.png /dados/ufes/20171122/1511378411.747176.bb3.r.png
7757720.841237 -363569.255205 0.000000 0.041573 0.008158 0.675239 1511378411.809690 /dados/ufes/20171122/1511378411.809690.bb3.l.png /dados/ufes/20171122/1511378411.809690.bb3.r.png
7757720.854715 -363569.263312 0.000000 0.041566 0.008309 0.672656 1511378411.872209 /dados/ufes/20171122/1511378411.872209.bb3.l.png /dados/ufes/20171122/1511378411.872209.bb3.r.png
7757720.899376 -363569.293139 0.000000 0.041712 0.008511 0.674842 1511378411.934731 /dados/ufes/20171122/1511378411.934731.bb3.l.png /dados/ufes/20171122/1511378411.934731.bb3.r.png
7757720.899328 -363569.305979 0.000000 0.041607 0.008185 0.673532 1511378411.997241 /dados/ufes/20171122/1511378411.997241.bb3.l.png /dados/ufes/20171122/1511378411.997241.bb3.r.png
7757720.875478 -363569.307364 0.000000 0.041436 0.008323 0.670036 1511378412.059749 /dados/ufes/20171122/1511378412.059749.bb3.l.png /dados/ufes/20171122/1511378412.059749.bb3.r.png
7757720.886648 -363569.329174 0.000000 0.041502 0.008324 0.671559 1511378412.122295 /dados/ufes/20171122/1511378412.122295.bb3.l.png /dados/ufes/20171122/1511378412.122295.bb3.r.png
7757720.854101 -363569.343091 0.000000 0.041386 0.008321 0.670652 1511378412.184735 /dados/ufes/20171122/1511378412.184735.bb3.l.png /dados/ufes/20171122/1511378412.184735.bb3.r.png
7757720.854476 -363569.350027 0.000000 0.041568 0.008204 0.671121 1511378412.247237 /dados/ufes/20171122/1511378412.247237.bb3.l.png /dados/ufes/20171122/1511378412.247237.bb3.r.png
7757720.876669 -363569.357767 0.000000 0.041572 0.008186 0.672375 1511378412.309791 /dados/ufes/20171122/1511378412.309791.bb3.l.png /dados/ufes/20171122/1511378412.309791.bb3.r.png
7757720.874196 -363569.357527 0.000000 0.041685 0.008003 0.672717 1511378412.372245 /dados/ufes/20171122/1511378412.372245.bb3.l.png /dados/ufes/20171122/1511378412.372245.bb3.r.png
7757720.884871 -363569.370424 0.000000 0.041910 0.007905 0.673251 1511378412.434717 /dados/ufes/20171122/1511378412.434717.bb3.l.png /dados/ufes/20171122/1511378412.434717.bb3.r.png
7757720.882865 -363569.379092 0.000000 0.042006 0.007939 0.672960 1511378412.497270 /dados/ufes/20171122/1511378412.497270.bb3.l.png /dados/ufes/20171122/1511378412.497270.bb3.r.png
7757720.883304 -363569.392035 0.000000 0.042135 0.007752 0.673184 1511378412.559749 /dados/ufes/20171122/1511378412.559749.bb3.l.png /dados/ufes/20171122/1511378412.559749.bb3.r.png
7757720.891498 -363569.408581 0.000000 0.042106 0.007728 0.674020 1511378412.622298 /dados/ufes/20171122/1511378412.622298.bb3.l.png /dados/ufes/20171122/1511378412.622298.bb3.r.png
7757720.872818 -363569.401118 0.000000 0.041984 0.007603 0.673059 1511378412.684727 /dados/ufes/20171122/1511378412.684727.bb3.l.png /dados/ufes/20171122/1511378412.684727.bb3.r.png
7757720.866032 -363569.365061 0.000000 0.041876 0.007613 0.672572 1511378412.747260 /dados/ufes/20171122/1511378412.747260.bb3.l.png /dados/ufes/20171122/1511378412.747260.bb3.r.png
